Event	Month	Year	Description
Queen Victoria's Funeral	February	1901	Marked the end of the Victorian era, Queen Victoria's funeral was a significant state affair that symbolized the end of her long reign. Her death was mourned globally, reflecting her widespread influence.
The Wright Brothers' First Flight	December	1903	Orville and Wilbur Wright achieved the first controlled and sustained flight of a powered airplane in Kitty Hawk, North Carolina. This event laid the foundation for modern aviation, transforming transportation.
Emily Davison Throws Herself Under The King's Derby Horse	June	1913	Emily Davison, a suffragette, made a dramatic protest for women's suffrage by throwing herself under King George V's horse at the Epsom Derby, becoming a poignant symbol of the suffrage movement.
Battle Of The Somme	July	1916	One of the bloodiest battles of World War I, the Battle of the Somme was marked by heavy casualties and is remembered for the use of trench warfare and the first use of tanks.
Abdication Of Tsar Nicholas	March	1917	Tsar Nicholas II of Russia abdicated his throne, leading to the end of the Romanov dynasty and paving the way for the Bolshevik Revolution.
Irish Free State Treaty Signed	December	1921	This treaty concluded the Irish War of Independence, establishing the Irish Free State and marking a significant step towards full Irish independence.
Suzanne Lenglen Breaks Wimbledon Record	July	1925	French tennis player Suzanne Lenglen dominated Wimbledon, setting records and becoming one of the first international female sports stars.
Start Of UK General Strike	May	1926	This was one of the largest industrial actions Britain ever saw, as workers protested in support of coal miners and against wage reductions and deteriorating working conditions.
Charles Lindbergh Flies The Atlantic Solo	May	1927	Charles Lindbergh made the first solo, nonstop transatlantic flight, flying from New York to Paris, which marked a major achievement in aviation history.
Wall Street Crash	October	1929	The Wall Street Crash of 1929, also known as the Great Crash, led to the Great Depression, affecting the global economy and causing widespread unemployment and hardship.
Hitler Becomes German Chancellor	January	1933	Adolf Hitler's appointment as Chancellor of Germany marked the beginning of the Third Reich, leading to WWII and the Holocaust.
Edward VIII Abdicates	December	1936	King Edward VIII abdicated the throne to marry Wallis Simpson, an American divorcee, leading to a constitutional crisis and the accession of King George VI.
Hindenburg Airship Crash	May	1937	The Hindenburg disaster was an airship crash in New Jersey, which marked the end of the use of airships in commercial transatlantic flight due to safety concerns.
Hitler Annexes Austria	March	1938	Adolf Hitler annexed Austria into Nazi Germany in an event known as the Anschluss, a critical step in the lead-up to World War II.
Germany Invades Poland	September	1939	The invasion of Poland by Germany sparked the beginning of World War II, leading to a global conflict that lasted until 1945.
